Date,Risk_Penalty,HHI_Penalty,IR,HHI,Tracking_Error,CI_Lower,CI_Upper
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,2.3137454394614068,0.11832772110957734,0.005576578823508608,-24.565299113991497,25.703287484840377
2015-10-01,0.0,0.1,0.5276255619083451,0.08989755387987915,0.006412622751521564,-24.841713300247754,19.912484453164023
2015-10-01,0.0,0.2,1.7798844595558438,0.09641364056367686,0.005972486335139946,-24.13402767743092,26.396092387429384
2015-10-01,0.0,0.3,0.8256585486341533,0.07936108789967775,0.005653107446306077,-25.52490722369792,22.463897454242048
2015-10-01,0.0,0.4,0.8518201433377361,0.07689856601629819,0.005390027681845086,-31.23466430384792,25.96285412052621
2015-10-01,0.0,0.5,0.22694770229365566,0.06960535078810547,0.0051346339191379806,-30.71391950271262,26.95135423863814
2015-10-01,0.0,0.6,-0.36894359933377063,0.06442155767379101,0.004974739854674083,-32.63104659657431,24.705551783920544
2015-10-01,0.0,0.7,-0.6752500978554724,0.06242256911178921,0.004862149993082081,-30.85270199914121,23.958511292633347
2015-10-01,0.0,0.8,-0.9867712521913141,0.060948710694094334,0.004719698556114185,-29.32358203329673,26.36668382622374
2015-10-01,0.0,0.9,-1.1267657860514957,0.05976819390729091,0.005336922555381685,-32.118924152073305,23.134106342859518
2015-10-01,0.0,1.0,-1.7259031898432142,0.05978407534765505,0.004097379101364259,-37.897945880704796,27.284500398090003
2015-10-01,0.5,0.0,-0.0019183797229121826,0.10357971833544098,0.005862994029426275,-19.45193614870939,22.89938348022625
2015-10-01,0.5,0.1,-0.5904474962002555,0.08204396376028981,0.004770525825258192,-28.442398864182515,21.486147637558588
2015-10-01,0.5,0.2,-0.10128204832974332,0.08500849039954313,0.006100366556186275,-26.584856234103185,22.045364963982877
2015-10-01,0.5,0.3,1.1599351125184574,0.08090141797823175,0.005258313640020592,-29.988906568380905,28.094556048419104
2015-10-01,0.5,0.4,0.8192227229983405,0.07591530155876572,0.004930323699876378,-29.848999219983238,24.993860633086122
2015-10-01,0.5,0.5,0.10136484507834724,0.06847430692791452,0.004799407411048671,-31.24492002751813,27.81399311405931
2015-10-01,0.5,0.6,-0.4581990439399925,0.06404849859863333,0.004680386922269059,-29.160691069320723,25.557498011855415
2015-10-01,0.5,0.7,-0.6029030228268979,0.06366433027022368,0.004571450541831064,-35.048775018008534,24.357576280108237
2015-10-01,0.5,0.8,-1.1561941359087,0.060422575817430144,0.004467234078007997,-36.30271005880054,24.16566093783345
2015-10-01,0.5,0.9,-1.3677222029544216,0.06179684577509315,0.004266925997312329,-33.81956536169403,25.87345166952833
2015-10-01,0.5,1.0,-1.8317052107054421,0.05945075053870447,0.004154523042945649,-32.161620508039384,23.97741708742773
2015-10-01,1.0,0.0,-0.27533176244932045,0.08930665656170503,0.0051094887765211735,-29.915969562212393,24.002407946647626
2015-10-01,1.0,0.1,-0.17579674426641248,0.09283091691612723,0.004295367291907022,-31.735857214160585,29.4381202774698
2015-10-01,1.0,0.2,1.0779177655930594,0.08260524090225221,0.00498527221075748,-28.743769075447897,27.50303680237754
2015-10-01,1.0,0.3,0.911954634623027,0.07830887288344873,0.0048734107311405855,-31.19860076925706,26.52912085100131
2015-10-01,1.0,0.4,0.649004290031394,0.07405658849169297,0.0045459741544149205,-28.519325518872474,28.98297291148685
2015-10-01,1.0,0.5,0.027757391821322027,0.06828473174745507,0.004447820247164801,-32.70352590610667,29.429863476862415
2015-10-01,1.0,0.6,-0.577763610145812,0.06371562586465622,0.004416205610529089,-33.662254690480836,26.34692722120805
2015-10-01,1.0,0.7,-1.0358954775684626,0.06087820678322548,0.00437278014842557,-34.725754166766166,25.526584580738472
2015-10-01,1.0,0.8,-1.342618682912216,0.059987846091627536,0.0042444786720269925,-33.27450556276158,26.1273798123777
2015-10-01,1.0,0.9,-1.5510190297420998,0.05937056839660148,0.004296780081161811,-39.60485947055508,24.955321044466455
2015-10-01,1.0,1.0,-2.1665408212125326,0.05927060830444288,0.003827665384783424,-36.293424847862006,26.654283278942973
2015-10-01,1.5,0.0,1.323410208295812,0.09775692515132002,0.005162967809897176,-24.791019284366378,28.682332457091015
2015-10-01,1.5,0.1,1.7414056598138135,0.0961865555802555,0.0038203063343878337,-34.74501315673561,37.94300601446656
2015-10-01,1.5,0.2,1.010459843116461,0.08236696924988265,0.004115985805423252,-28.301827123041438,27.97613703499191
2015-10-01,1.5,0.3,0.7244134201525759,0.08063700356920232,0.004175513618145926,-28.08745352410795,30.835398986835166
2015-10-01,1.5,0.4,0.6029536007827949,0.07394230550123042,0.00423953024616495,-30.765353564556026,31.11616296983989
2015-10-01,1.5,0.5,-0.07007019378683582,0.06813165493674493,0.004181330346990285,-30.73137232677263,28.40361862436413
2015-10-01,1.5,0.6,-0.705574433249573,0.06363213936939888,0.004151489910923751,-36.08955582947585,28.673514175064636
2015-10-01,1.5,0.7,-1.0692996373376948,0.06194676748520699,0.004081812114868104,-36.35363064438352,27.418808400094854
2015-10-01,1.5,0.8,-1.3442345680778425,0.06115084621624132,0.004090592660634489,-33.164482806400315,26.973272275968448
2015-10-01,1.5,0.9,-1.8195385825617452,0.057935442490485364,0.004106787473388679,-31.297057625850222,26.786856241074787
2015-10-01,1.5,1.0,-1.8963487016922143,0.05930864152331983,0.004242334864324093,-33.07111336622226,26.09774612838654
2015-10-01,2.0,0.0,0.8068462128725523,0.10288103117684098,0.004558021090732846,-24.499725907077682,26.425208648618042
