Date,AUD,BRL,CAD,CHF,CNY,EUR,GBP,HUF,INR,JPY,MXN,NOK,NZD,PLN,SEK,TWD,ZAR
2024-02-12,1.5324300527572632,4.953100204467773,1.3457800149917603,0.8741599917411804,7.178999900817871,0.9260799884796143,0.7913100123405457,358.2770080566406,83.0145034790039,149.16700744628906,17.075429916381836,10.53242015838623,1.6266200542449951,4.002788066864014,10.442850112915039,31.367799758911133,18.976049423217773
2024-02-13,1.5316519737243652,4.952199935913086,1.3455300331115723,0.8758000135421753,7.192200183868408,0.928309977054596,0.791920006275177,358.9700012207031,82.99019622802734,149.40499877929688,17.067760467529297,10.497750282287598,1.6318800449371338,3.99912691116333,10.397159576416016,31.288400650024414,18.89859962463379
2024-02-14,1.5495710372924805,4.952000141143799,1.3565800189971924,0.8874099850654602,7.188700199127197,0.9337999820709229,0.7942399978637695,361.3999938964844,83.07460021972656,150.7239990234375,17.202009201049805,10.669059753417969,1.6507600545883179,4.049604892730713,10.580060005187988,31.468700408935547,19.07659912109375
2024-02-15,1.5387459993362427,4.968299865722656,1.3538700342178345,0.8851000070571899,7.175899982452393,0.9317799806594849,0.7956500053405762,362.0360107421875,83.04309844970703,150.54400634765625,17.075199127197266,10.577300071716309,1.6418700218200684,4.042724132537842,10.50590991973877,31.34510040283203,19.028560638427734
2024-02-16,1.5324499607086182,4.972400188446045,1.3465299606323242,0.879800021648407,7.163899898529053,0.9281700253486633,0.7936999797821045,361.0199890136719,83.00959777832031,149.9459991455078,17.040170669555664,10.523260116577148,1.6363400220870972,4.028663158416748,10.446510314941406,31.262699127197266,18.939529418945312
2024-02-19,1.529539942741394,4.965099811553955,1.3477799892425537,0.880649983882904,7.118599891662598,0.9272199869155884,0.7929499745368958,359.9949951171875,83.01599884033203,150.09100341796875,17.042930603027344,10.495200157165527,1.6296199560165405,4.021039009094238,10.417180061340332,31.333200454711914,18.825109481811523
2024-02-20,1.531209945678711,4.956399917602539,1.3497999906539917,0.8827469944953918,7.197199821472168,0.9280400276184082,0.7944300174713135,360.42498779296875,83.02100372314453,150.27000427246094,17.03420066833496,10.48904037475586,1.6279799938201904,4.01364278793335,10.390629768371582,31.402099609375,18.93931007385254
2024-02-21,1.5259020328521729,4.926400184631348,1.3521900177001953,0.8818100094795227,7.189700126647949,0.9247999787330627,0.7919300198554993,358.2760009765625,82.8291015625,149.93899536132812,17.059799194335938,10.484450340270996,1.6212199926376343,3.9898500442504883,10.357210159301758,31.37779998779297,18.9064998626709
2024-02-22,1.5259720087051392,4.934899806976318,1.3496999740600586,0.8792499899864197,7.1880998611450195,0.9241799712181091,0.7912600040435791,357.6449890136719,82.93840026855469,150.35499572753906,17.033100128173828,10.474610328674316,1.6180399656295776,3.9882619380950928,10.357159614562988,31.426300048828125,18.896129608154297
2024-02-23,1.5245989561080933,4.962399959564209,1.348140001296997,0.8799499869346619,7.193299770355225,0.9237300157546997,0.7896599769592285,357.50201416015625,82.87229919433594,150.48300170898438,17.10733985900879,10.496310234069824,1.6141300201416016,3.9941999912261963,10.315899848937988,31.45400047302246,19.14780044555664
