Date,EWA,EWC,EWG,EWH,EWJ,EWS,EWU,EWW,IJR,MDY,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2018-11-02,15.369856326610602,22.668566504040875,22.975120828814013,17.314981386537863,48.096720673099036,16.46723612996443,24.34890286080482,35.717417314613066,70.16881981988865,305.0178161603611,241.70898557113978,45.53386556199287,42.54096943346127,48.639174510432795,22.7927246850402,62.004712449164046,64.09295830955348,45.61195498766366,43.16338931207137,78.80757051043473,98.55103842562586
2018-11-09,15.880802543787762,23.096444127037877,23.26905394018865,17.750071079647103,48.87810086573344,16.7769678433831,24.85603616640767,36.75746282083823,72.23032336522479,314.6877618385251,248.3198768667402,47.67351331616896,43.05687683056464,50.08246406298598,23.601682831684045,64.12546891715081,65.2127871532009,46.561322220447245,43.67892532974251,81.31033297172931,102.62190221666606
2018-11-16,15.67732385045405,22.798771281424774,22.777063424026796,17.900295977475956,48.06361322842842,16.528004830447287,24.352722363184277,33.87112193293161,70.43311980233166,309.92286390246215,244.46376817546093,47.16058041959783,41.949729173381385,48.369627486016114,23.29068042185468,63.45521915892857,63.341422903400584,46.60153354985683,43.85036602637731,80.96356202884877,100.42183008206686
2018-11-23,15.37789949821708,22.554103033397713,22.46441811765769,18.03893249010576,47.84674840383214,16.413653020488887,24.032516745500196,33.45539999116008,69.21253830892799,305.2216689893894,238.79393862641018,46.73517096135543,40.599901544441494,47.6693276099108,23.03198300581044,62.21242597359223,60.7347605368623,45.81063536167516,43.85428349500498,80.05253197124244,96.1638874316731
2018-11-30,15.591289963642689,22.627020739403143,22.65763901413077,18.446459312520478,48.615434327231725,16.796487979467408,24.13352355921324,32.610102244040085,70.03801380201729,309.5568309444537,242.89134076055763,46.69573799134391,41.51059072490348,47.447634096214415,23.318631304444292,62.98724431381,62.16971221376808,45.98880089443383,43.936290787901385,82.03491152368738,99.00610965929454
2018-12-07,15.48777624225286,22.59746693763167,22.270459297967154,18.653718130192914,48.135902793611805,17.0613778572576,23.660662120320765,33.47810964766836,69.03336035989388,307.17898648209996,243.80007068342596,46.752496915991905,41.48181817379575,47.82189753460764,22.81085375534526,62.88056729190242,62.83502718875096,46.07492716211571,45.04726406566685,82.80350347996303,100.09782930150006
2018-12-14,15.152163035268648,21.9601473090203,21.658100670534456,18.432474136434227,47.09372949076941,16.698522894869946,23.145988167919207,33.363081378711925,66.35533458861144,295.62816747351724,237.2574784263424,45.114075050258954,41.126336832701654,45.96475392581956,21.5351747878077,60.40384094444325,61.436871199100004,45.65174972809637,45.4985563474509,80.92054770060216,97.150269435497
2018-12-21,14.848978661804418,21.140373296700414,21.337255672947848,18.3841177323763,46.0868663824813,16.56174256033955,22.799310159080797,33.57943488006737,62.51812786327294,280.32973134265364,226.15100294217592,43.56961088271067,39.4681454536325,43.00058843510538,20.737413854966338,57.91084832329375,58.476333395446545,43.41791074584158,44.157352428874034,76.10869600508158,92.34674731420401
2018-12-28,14.672655982302713,20.487286588882885,20.92589634173398,18.18626090955634,44.51920986118627,16.469457791253234,22.62113965085521,34.03954355144975,60.53191260427628,270.51420468490096,218.93864314503995,42.78294576810529,37.952798070583874,41.10352537707254,20.24176425926295,55.732406725163415,56.34070513039977,41.73503522282228,42.44005674830433,74.27982172292495,89.80004950245812
2019-01-04,14.888751484180471,21.007131459889052,21.198171493560533,18.136233928458363,45.44234613813366,16.541302321934154,22.934766192637632,34.833835658356094,62.294054053257554,276.80034572075505,224.11098997266345,43.8730251995976,39.03320710742464,42.594968637305975,20.924125222030558,57.15950555678303,57.20616744573231,42.30557702227091,42.39601899602304,75.93632985788774,92.89427571488488
